unitid,sgtype,functcd,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,"xstaff17",staff17,"xstaff18",staff18,"xstaff19",staff19,"xstaff20",staff20,"xstaff21",staff21,"xstaff22",staff22,"xstaff23",staff23,"xstaff24",staff24
229337,9,6,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2,"R",6,"R",1,"R",8,"R",17,"R",42,"Z",0,"Z",0,"R",21,"R",57,"Z",0,"R",1,"R",1,"R",8,"R",9,"R",59,"Z",0,"R",78
229337,10,99,"Z",0,"Z",0,"R",2,"R",5,"Z",0,"R",1,"R",1,"R",3,"R",10,"R",46,"R",5,"R",55,"Z",0,"Z",0,"R",18,"R",110,"Z",0,"R",7,"R",1,"R",4,"R",56,"R",60,"Z",0,"R",128
229337,11,7,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"R",1,"R",1,"R",3,"R",12,"R",3,"R",9,"Z",0,"Z",0,"R",8,"R",26,"Z",0,"R",5,"Z",0,"R",2,"R",15,"R",12,"Z",0,"R",34
229337,12,8,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",23,"Z",0,"R",39,"Z",0,"Z",0,"R",4,"R",63,"Z",0,"R",1,"R",1,"Z",0,"R",26,"R",39,"Z",0,"R",67
229337,13,9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1
229337,14,10,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"R",10,"R",2,"R",7,"Z",0,"Z",0,"R",6,"R",20,"Z",0,"R",1,"Z",0,"R",2,"R",14,"R",9,"Z",0,"R",26
229355,1,13,"Z",0,"R",1,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"R",5,"R",25,"Z",0,"Z",0,"R",7,"R",31,"R",1,"R",3,"Z",0,"Z",0,"R",4,"R",30,"Z",0,"R",38
229355,2,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",13,"Z",0,"Z",0,"R",1,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"Z",0,"R",14
229355,5,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",13,"Z",0,"Z",0,"R",1,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"Z",0,"R",14
229355,6,12,"Z",0,"R",1,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"R",4,"R",12,"Z",0,"Z",0,"R",6,"R",18,"R",1,"R",3,"Z",0,"Z",0,"R",4,"R",16,"Z",0,"R",24
