UNITID,ARANK,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
159656,22,"C",4,"C",0,"C",11,"C",12,"C",0,"C",0,"C",5,"C",2,"C",4,"C",8,"C",149,"C",79,"C",2,"C",6,"C",175,"C",107,"C",4,"C",23,"C",0,"C",7,"C",12,"C",228,"C",8,"C",282
159717, 1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",8,"R",2,"R",1,"Z",0,"R",39,"R",14,"Z",0,"Z",0,"R",49,"R",16,"Z",0,"R",1,"Z",0,"R",10,"R",1,"R",53,"Z",0,"R",65
159717, 2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",30,"R",22,"Z",0,"Z",0,"R",30,"R",24,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",52,"Z",0,"R",54
159717, 3,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",23,"Z",0,"Z",0,"R",13,"R",25,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",36,"Z",0,"R",38
159717, 7,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",8,"R",3,"R",1,"Z",0,"R",82,"R",59,"Z",0,"Z",0,"R",92,"R",65,"Z",0,"R",4,"Z",0,"R",11,"R",1,"R",141,"Z",0,"R",157
159717, 9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
159717,10,"R",2,"R",1,"R",1,"R",2,"Z",0,"R",1,"R",7,"Z",0,"Z",0,"Z",0,"R",34,"R",26,"Z",0,"Z",0,"R",44,"R",30,"R",3,"R",3,"R",1,"R",7,"Z",0,"R",60,"Z",0,"R",74
159717,14,"R",2,"R",1,"R",1,"R",2,"Z",0,"R",1,"R",7,"Z",0,"Z",0,"Z",0,"R",36,"R",26,"Z",0,"Z",0,"R",46,"R",30,"R",3,"R",3,"R",1,"R",7,"Z",0,"R",62,"Z",0,"R",76
159717,16,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1
159717,17,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",12,"Z",0,"Z",0,"R",9,"R",12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"Z",0,"R",21
