UNITID,SGTYPE,FUNCTCD,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100751, 2,11,"R",109,"R",55,"R",54,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",12,"R",5,"R",7,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",81,"R",41,"R",40,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",10,"R",8,"R",2
100751, 3, 1,"R",4,"R",3,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100751, 4, 2,"R",45,"R",22,"R",23,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",5,"R",2,"R",3,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",30,"R",15,"R",15,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",6,"R",5,"R",1
100751, 5, 3,"R",60,"R",30,"R",30,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",6,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",48,"R",23,"R",25,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",4,"R",3,"R",1
100751, 6,12,"R",229,"R",88,"R",141,"R",0,"R",0,"R",0,"R",7,"R",3,"R",4,"R",36,"R",9,"R",27,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",168,"R",67,"R",101,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",15,"R",8,"R",7
100751, 7,99,"R",127,"R",49,"R",78,"Z",0,"Z",0,"Z",0,"R",5,"R",2,"R",3,"R",12,"R",5,"R",7,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",94,"R",34,"R",60,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",8,"R",7
100751, 8, 4,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100751, 9, 6,"R",126,"R",49,"R",77,"R",0,"R",0,"R",0,"R",5,"R",2,"R",3,"R",12,"R",5,"R",7,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",93,"R",34,"R",59,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",15,"R",8,"R",7
100751,10,99,"R",102,"R",39,"R",63,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",24,"R",4,"R",20,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",74,"R",33,"R",41,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
100751,11, 7,"R",23,"R",14,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20,"R",14,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
